Domain,Status,Relation_Score,Final_URL,HTTP_Status,Title,Content_CSE_Keyword_Count,Content_Phish_Keyword_Count,Semantic_CSE,Semantic_Score,Favicon_Match,Favicon_Distance,RDAP_Org,RDAP_Registrar,Domain_Age_Days
megamont.co.in,unrelated,0.3,https://megamont.co.in,200.0,Parked Domain name on Hostinger DNS system,0.0,1.0,HDFC,0.128,,,,,0.0
lovemeal.co.in,unrelated,0.3,https://lovemeal.co.in,200.0,Parked Domain name on Hostinger DNS system,0.0,1.0,HDFC,0.128,,,,,0.0
gptandagondia.org.in,unrelated,0.3,https://www.gptandagondia.org.in/,200.0,तांडा ग्रामपंचायत | Tanda Grampanchayat - आधिकारिक वेबसाइट,0.0,0.0,ICICI,0.24,,,,,0.0
earnonlinepro.xyz,unrelated,0.3,http://earnonlinepro.xyz,200.0,,0.0,0.0,BoB,0.484,,,,,0.0
airgentech.xyz,unrelated,0.3,http://airgentech.xyz,200.0,,0.0,0.0,BoB,0.484,,,,,0.0
indiancomet.in,uncertain,0.8,https://indiancomet.in/,200.0,Home - CoMET,0.0,0.0,SBI,0.183,,,VaCCT,1636.0,7.0
servicescenterindia.co.in,uncertain,1.3,http://servicescenterindia.co.in,200.0,24X7 Customer Care Support,1.0,0.0,Airtel,0.258,,,Aapanjan Enterprise,146.0,7.0
whickers.com.tr,unrelated,0.3,https://whickers.com.tr/,200.0,WHİCKERS,0.0,0.0,IOCL,0.137,,,,,0.0
layananresmi.biz.id,unrelated,0.3,http://layananresmi.biz.id,200.0,Layananresmi - Belajar Jadi Gak Ngebosenin!,0.0,0.0,SBI,0.161,,,,1.0,24.0
designmazic.co.in,uncertain,0.8,http://designmazic.co.in,200.0,Design Mazic,0.0,0.0,Airtel,0.13,,,360Digit,1636.0,7.0
smksnwdipancor.sch.id,unrelated,0.3,http://smksnwdipancor.sch.id,200.0,SMK NWDI Pancor,0.0,0.0,SBI,0.273,,,,1.0,7.0
suburbanink.com.br,unrelated,0.3,http://suburbanink.com.br,200.0,Suburban Ink – My WordPress Blog,0.0,0.0,NIC,0.193,,,,,8.0
redonline.in,uncertain,0.8,https://redonline.in/auth?tab=signup,200.0,RED – The AI Learning Assistant,0.0,0.0,NIC,0.255,,,Red AI Learning Assistant,1636.0,7.0
symphonicpfunk.com,uncertain,0.8,http://symphonicpfunk.com,200.0,For Sale Page,1.0,0.0,IOCL,0.16,,,,472.0,7.0
