Domain,base_host,CSE_Score,CSE_Match,Lexical_Score,CSE_Similarity,risk_bucket,reason
abhacard.net.in,abhacard.net.in,0.3057,SBI,0.2065,0.4545,low,lexical+cse
printbob.in,printbob.in,0.3871,BoB,0.0633,0.8727,low,lexical+cse
digitalifo.org.in,digitalifo.org.in,0.3007,NIC,0.2114,0.4348,low,lexical+cse
goodx.co.in,goodx.co.in,0.3445,NIC,0.1819,0.5882,low,lexical+cse
emmarindia.co.in,emmarindia.co.in,0.349,IOCL,0.2083,0.56,low,lexical+cse
mindmeredian.co.in,mindmeredian.co.in,0.3658,IOCL,0.2146,0.5926,low,lexical+cse
the-glenhart.co.in,the-glenhart.co.in,0.3047,NIC,0.23,0.4167,low,lexical+cse
hop.org.in,hop.org.in,0.3074,NIC,0.1789,0.5,low,lexical+cse
theglenhart.co.in,theglenhart.co.in,0.3058,NIC,0.2199,0.4348,low,lexical+cse
goliving.in,goliving.in,0.3161,NIC,0.0563,0.7059,low,lexical+cse
gerber.ind.in,gerber.ind.in,0.3039,PNB,0.189,0.4762,low,lexical+cse
nankha.co.in,nankha.co.in,0.3018,IOCL,0.1855,0.4762,low,lexical+cse
ankey.co.in,ankey.co.in,0.3016,NIC,0.189,0.4706,low,lexical+cse
hauck.co.in,hauck.co.in,0.3016,NIC,0.189,0.4706,low,lexical+cse
1st.org.in,1st.org.in,0.3199,NIC,0.1998,0.5,low,lexical+cse
painfreeclub.co.in,painfreeclub.co.in,0.3025,Airtel,0.2263,0.4167,low,lexical+cse
servicescenterindia.co.in,servicescenterindia.co.in,0.3103,IOCL,0.2426,0.4118,low,lexical+cse
m3t.org.in,m3t.org.in,0.3199,NIC,0.1998,0.5,low,lexical+cse
m3t.co.in,m3t.co.in,0.3303,NIC,0.195,0.5333,low,lexical+cse
tharang.co.in,tharang.co.in,0.3302,NIC,0.1995,0.5263,low,lexical+cse
kioselvators.co.in,kioselvators.co.in,0.3018,NIC,0.2252,0.4167,low,lexical+cse
megamont.co.in,megamont.co.in,0.3216,NIC,0.2027,0.5,low,lexical+cse
hcshgt.co.in,hcshgt.co.in,0.3374,NIC,0.1919,0.5556,low,lexical+cse
lovemeal.co.in,lovemeal.co.in,0.3216,NIC,0.2027,0.5,low,lexical+cse
kovyl.in,kovyl.in,0.3227,NIC,0.0616,0.7143,low,lexical+cse
goprotech.co.in,goprotech.co.in,0.3155,NIC,0.2084,0.4762,low,lexical+cse
innovsense.co.in,innovsense.co.in,0.3012,NIC,0.199,0.4545,low,lexical+cse
kavininfra.co.in,kavininfra.co.in,0.3162,IOCL,0.2069,0.48,low,lexical+cse
aagame777.co.in,aagame777.co.in,0.3321,NIC,0.2361,0.4762,low,lexical+cse
freshmartindia.co.in,freshmartindia.co.in,0.334,IOCL,0.2348,0.4828,low,lexical+cse
p77-game.co.in,p77-game.co.in,0.3425,NIC,0.2376,0.5,low,lexical+cse
hotelindiana.co.in,hotelindiana.co.in,0.3677,IOCL,0.2177,0.5926,low,lexical+cse
indianahotel.in,indianahotel.in,0.3118,IOCL,0.0752,0.6667,low,lexical+cse
onlineage.in,onlineage.in,0.3045,SBI,0.0631,0.6667,low,lexical+cse
optionchain.co.in,optionchain.co.in,0.3055,ICICI,0.2062,0.4545,low,lexical+cse
badmintonindia.org.in,badmintonindia.org.in,0.321,IOCL,0.224,0.4667,low,lexical+cse
designmazic.co.in,designmazic.co.in,0.3051,NIC,0.2186,0.4348,low,lexical+cse
ajor.co.in,ajor.co.in,0.3085,NIC,0.1808,0.5,low,lexical+cse
redonline.in,redonline.in,0.3045,SBI,0.0631,0.6667,low,lexical+cse
sarovi.co.in,sarovi.co.in,0.3374,NIC,0.1919,0.5556,low,lexical+cse
golse2e.co.in,golse2e.co.in,0.3376,NIC,0.2118,0.5263,low,lexical+cse
growdh.in,growdh.in,0.3073,NIC,0.0678,0.6667,low,lexical+cse
suvidhakendra.co.in,suvidhakendra.co.in,0.311,IOCL,0.2326,0.4286,low,lexical+cse
suryatrading.co.in,suryatrading.co.in,0.3025,NIC,0.2263,0.4167,low,lexical+cse
pcx.org.in,pcx.org.in,0.3107,NIC,0.1846,0.5,low,lexical+cse
pcx.co.in,pcx.co.in,0.3166,NIC,0.1721,0.5333,low,lexical+cse
makfarms.co.in,makfarms.co.in,0.3086,BoB,0.2067,0.4615,low,lexical+cse
novyy.in,novyy.in,0.3143,NIC,0.0476,0.7143,low,lexical+cse
signaturetea.co.in,signaturetea.co.in,0.3006,NIC,0.2232,0.4167,low,lexical+cse
movezy.net.in,movezy.net.in,0.3291,NIC,0.1976,0.5263,low,lexical+cse
trendythings.co.in,trendythings.co.in,0.3129,IOCL,0.2252,0.4444,low,lexical+cse
nextpixel.co.in,nextpixel.co.in,0.3141,PNB,0.2061,0.4762,low,lexical+cse
eximbridge.co.in,eximbridge.co.in,0.311,NIC,0.2153,0.4545,low,lexical+cse
invictusbiocare.in,invictusbiocare.in,0.3604,SBI,0.0895,0.7667,low,lexical+cse
onlinecolleges.co.in,onlinecolleges.co.in,0.3512,SBI,0.2176,0.5517,low,lexical+cse
tyroventures.co.in,tyroventures.co.in,0.3006,NIC,0.2232,0.4167,low,lexical+cse
bakemaster.co.in,bakemaster.co.in,0.3035,BoB,0.2201,0.4286,low,lexical+cse
indifeastfood.co.in,indifeastfood.co.in,0.3329,IOCL,0.2215,0.5,low,lexical+cse
sieplindia.co.in,sieplindia.co.in,0.3498,IOCL,0.2096,0.56,low,lexical+cse
goovy.in,goovy.in,0.3756,NIC,0.0546,0.8571,low,lexical+cse
arcgroups.co.in,arcgroups.co.in,0.3164,NIC,0.2098,0.4762,low,lexical+cse
google-rank.co.in,google-rank.co.in,0.3073,NIC,0.2223,0.4348,low,lexical+cse
prao.co.in,prao.co.in,0.3085,NIC,0.1808,0.5,low,lexical+cse
365online.in,365online.in,0.3309,SBI,0.1071,0.6667,low,lexical+cse
rahulgoyal.co.in,rahulgoyal.co.in,0.3118,NIC,0.2166,0.4545,low,lexical+cse
goodwhite.co.in,goodwhite.co.in,0.3155,NIC,0.2084,0.4762,low,lexical+cse
grambask.co.in,grambask.co.in,0.3264,NIC,0.2107,0.5,low,lexical+cse
agmcompany.co.in,agmcompany.co.in,0.3076,NIC,0.2096,0.4545,low,lexical+cse
meridianacademy.co.in,meridianacademy.co.in,0.3242,IOCL,0.2292,0.4667,low,lexical+cse
dtgv.co.in,dtgv.co.in,0.3619,NIC,0.1865,0.625,low,lexical+cse
ddj.co.in,ddj.co.in,0.3166,NIC,0.1721,0.5333,low,lexical+cse
shovan.co.in,shovan.co.in,0.3374,NIC,0.1919,0.5556,low,lexical+cse
onesip.co.in,onesip.co.in,0.3028,SBI,0.1872,0.4762,low,lexical+cse
vesa.org.in,vesa.org.in,0.3036,NIC,0.1922,0.4706,low,lexical+cse
ussf.co.in,ussf.co.in,0.3085,NIC,0.1808,0.5,low,lexical+cse
plasticbobbin.in,plasticbobbin.in,0.3633,BoB,0.0805,0.7875,low,lexical+cse
gvslaw.in,gvslaw.in,0.3073,NIC,0.0678,0.6667,low,lexical+cse
unsecuredloansinindia.co.in,unsecuredloansinindia.co.in,0.3059,IOCL,0.2506,0.3889,low,lexical+cse
gstpvt.in,gstpvt.in,0.3036,NIC,0.0615,0.6667,low,lexical+cse
tzen.co.in,tzen.co.in,0.3085,NIC,0.1808,0.5,low,lexical+cse
calo.co.in,calo.co.in,0.3051,NIC,0.1752,0.5,low,lexical+cse
alljb.co.in,alljb.co.in,0.3016,NIC,0.189,0.4706,low,lexical+cse
zyph.co.in,zyph.co.in,0.3119,NIC,0.1865,0.5,low,lexical+cse
pcx.net.in,pcx.net.in,0.3074,PNB,0.1789,0.5,low,lexical+cse
nandiniseshan.co.in,nandiniseshan.co.in,0.3286,IOCL,0.2143,0.5,low,lexical+cse
xyx.co.in,xyx.co.in,0.3166,NIC,0.1721,0.5333,low,lexical+cse
nexgenz.co.in,nexgenz.co.in,0.3267,NIC,0.1936,0.5263,low,lexical+cse
virgomica.co.in,virgomica.co.in,0.3133,NIC,0.2046,0.4762,low,lexical+cse
glorifi.co.in,glorifi.co.in,0.3267,NIC,0.1936,0.5263,low,lexical+cse
arthaedge.co.in,arthaedge.co.in,0.3186,NIC,0.2136,0.4762,low,lexical+cse
mkdesignstudio.co.in,mkdesignstudio.co.in,0.3047,IOCL,0.232,0.4138,low,lexical+cse
hdonline.co.in,hdonline.co.in,0.3618,SBI,0.1971,0.6087,low,lexical+cse
rcipl.co.in,rcipl.co.in,0.3103,ICICI,0.1839,0.5,low,lexical+cse
dexova.in,dexova.in,0.3073,NIC,0.0678,0.6667,low,lexical+cse
mgmdc.co.in,mgmdc.co.in,0.3456,NIC,0.1839,0.5882,low,lexical+cse
61club.co.in,61club.co.in,0.3115,NIC,0.2228,0.4444,low,lexical+cse
angelwings.co.in,angelwings.co.in,0.3191,SBI,0.2118,0.48,low,lexical+cse
gobird.in,gobird.in,0.3036,NIC,0.0615,0.6667,low,lexical+cse
sonigold.co.in,sonigold.co.in,0.3183,NIC,0.1971,0.5,low,lexical+cse
ilaa.co.in,ilaa.co.in,0.3051,NIC,0.1752,0.5,low,lexical+cse
kga.net.in,kga.net.in,0.3074,PNB,0.1789,0.5,low,lexical+cse
brandmotive.co.in,brandmotive.co.in,0.3078,NIC,0.2232,0.4348,low,lexical+cse
sugven.co.in,sugven.co.in,0.3402,NIC,0.1966,0.5556,low,lexical+cse
connect2trainer.co.in,connect2trainer.co.in,0.3,SBI,0.2333,0.4,low,lexical+cse
badforce.co.in,badforce.co.in,0.3058,HDFC,0.2067,0.4545,low,lexical+cse
dasglobal.co.in,dasglobal.co.in,0.3164,NIC,0.2098,0.4762,low,lexical+cse
aircoolindia.net.in,aircoolindia.net.in,0.3307,IOCL,0.2178,0.5,low,lexical+cse
sun.ind.in,sun.ind.in,0.3216,PNB,0.1656,0.5556,low,lexical+cse
econline.co.in,econline.co.in,0.3569,SBI,0.1891,0.6087,low,lexical+cse
ogtonline.in,ogtonline.in,0.3045,SBI,0.0631,0.6667,low,lexical+cse
srdev.co.in,srdev.co.in,0.3047,NIC,0.1941,0.4706,low,lexical+cse
arovyah.co.in,arovyah.co.in,0.3302,NIC,0.1995,0.5263,low,lexical+cse
liftu.co.in,liftu.co.in,0.3016,NIC,0.189,0.4706,low,lexical+cse
dentinova.co.in,dentinova.co.in,0.3133,NIC,0.2046,0.4762,low,lexical+cse
itsover9000.co.in,itsover9000.co.in,0.3289,NIC,0.2584,0.4348,low,lexical+cse
rkggroup.co.in,rkggroup.co.in,0.3216,NIC,0.2027,0.5,low,lexical+cse
ritvi.co.in,ritvi.co.in,0.3092,ICICI,0.1819,0.5,low,lexical+cse
fova.in,fova.in,0.3406,NIC,0.0549,0.7692,low,lexical+cse
trevs.co.in,trevs.co.in,0.3047,NIC,0.1941,0.4706,low,lexical+cse
hdhub4umovie.com.in,hdhub4umovie.com.in,0.3022,NIC,0.2369,0.4,low,lexical+cse
islgames.com.in,islgames.com.in,0.3152,NIC,0.2079,0.4762,low,lexical+cse
tradingcafeindia.co.in,tradingcafeindia.co.in,0.3205,IOCL,0.2331,0.4516,low,lexical+cse
shieldforcesecurity.co.in,shieldforcesecurity.co.in,0.3215,HDFC,0.253,0.4242,low,lexical+cse
lotusx365.co.in,lotusx365.co.in,0.3025,NIC,0.2502,0.381,low,lexical+cse
cnba.co.in,cnba.co.in,0.3051,NIC,0.1752,0.5,low,lexical+cse
mauva.co.in,mauva.co.in,0.3016,NIC,0.189,0.4706,low,lexical+cse
siddhisugar.co.in,siddhisugar.co.in,0.3051,NIC,0.2186,0.4348,low,lexical+cse
herbisland.co.in,herbisland.co.in,0.3099,BoB,0.2201,0.4444,low,lexical+cse
prabhumovers.co.in,prabhumovers.co.in,0.3062,NIC,0.2326,0.4167,low,lexical+cse
gloveflix.in,gloveflix.in,0.3112,NIC,0.0742,0.6667,low,lexical+cse
cherryindia.co.in,cherryindia.co.in,0.3446,IOCL,0.2153,0.5385,low,lexical+cse
masangam.co.in,masangam.co.in,0.3183,NIC,0.1971,0.5,low,lexical+cse
sol.ind.in,sol.ind.in,0.3145,SBI,0.1733,0.5263,low,lexical+cse
businesssbi.co.in,businesssbi.co.in,0.4338,SBI,0.2054,0.7765,low,lexical+cse
doctorsonline.co.in,doctorsonline.co.in,0.3318,SBI,0.2197,0.5,low,lexical+cse
arrov.in,arrov.in,0.3185,NIC,0.0546,0.7143,low,lexical+cse
dgncdn.co.in,dgncdn.co.in,0.3307,NIC,0.1808,0.5556,low,lexical+cse
cbtf247.com.in,cbtf247.com.in,0.3061,NIC,0.2435,0.4,low,lexical+cse
humai.co.in,humai.co.in,0.3016,NIC,0.189,0.4706,low,lexical+cse
businesswoman.co.in,businesswoman.co.in,0.3061,IOCL,0.2245,0.4286,low,lexical+cse
businessman.co.in,businessman.co.in,0.313,IOCL,0.214,0.4615,low,lexical+cse
sterlingaxis.co.in,sterlingaxis.co.in,0.3018,NIC,0.2252,0.4167,low,lexical+cse
hansu.co.in,hansu.co.in,0.3016,NIC,0.189,0.4706,low,lexical+cse
gpsarolekhurd.co.in,gpsarolekhurd.co.in,0.3031,NIC,0.2385,0.4,low,lexical+cse
ezeego.co.in,ezeego.co.in,0.3335,NIC,0.1855,0.5556,low,lexical+cse
goeazy.in,goeazy.in,0.3073,NIC,0.0678,0.6667,low,lexical+cse
galaxyexim.co.in,galaxyexim.co.in,0.3118,NIC,0.2166,0.4545,low,lexical+cse
blrgo.in,blrgo.in,0.3227,NIC,0.0616,0.7143,low,lexical+cse
prpropertiesnorthbangalore.ind.in,prpropertiesnorthbangalore.ind.in,0.3019,PNB,0.2755,0.3415,low,lexical+cse
g-g.co.in,g-g.co.in,0.3721,NIC,0.1758,0.6667,low,lexical+cse
imnews.co.in,imnews.co.in,0.3056,SBI,0.1919,0.4762,low,lexical+cse
ftms.org.in,ftms.org.in,0.3036,NIC,0.1922,0.4706,low,lexical+cse
chargeeat.co.in,chargeeat.co.in,0.3164,NIC,0.2098,0.4762,low,lexical+cse
workfromindia.co.in,workfromindia.co.in,0.3347,IOCL,0.2245,0.5,low,lexical+cse
yy6.co.in,yy6.co.in,0.3266,NIC,0.1887,0.5333,low,lexical+cse
xcale.co.in,xcale.co.in,0.3016,NIC,0.189,0.4706,low,lexical+cse
lko.co.in,lko.co.in,0.3166,NIC,0.1721,0.5333,low,lexical+cse
paragraph.co.in,paragraph.co.in,0.3133,NIC,0.2046,0.4762,low,lexical+cse
mmsvs.bank.in,mmsvs.bank.in,0.3149,BoB,0.1914,0.5,low,lexical+cse
kuc.bank.in,kuc.bank.in,0.3262,BoB,0.1801,0.5455,low,lexical+cse
sportsbid.in,sportsbid.in,0.3845,SBI,0.0742,0.85,low,lexical+cse
briel.co.in,briel.co.in,0.3016,NIC,0.189,0.4706,low,lexical+cse
deepengg.co.in,deepengg.co.in,0.3183,NIC,0.1971,0.5,low,lexical+cse
krovn.in,krovn.in,0.3185,NIC,0.0546,0.7143,low,lexical+cse
skygo.co.in,skygo.co.in,0.3487,NIC,0.189,0.5882,low,lexical+cse
agridost.co.in,agridost.co.in,0.324,NIC,0.2067,0.5,low,lexical+cse
ekattva.co.in,ekattva.co.in,0.3302,NIC,0.1995,0.5263,low,lexical+cse
mungasare.co.in,mungasare.co.in,0.3186,NIC,0.2136,0.4762,low,lexical+cse
diasporaindiaconnect.gov.in,diasporaindiaconnect.gov.in,0.4807,NIC,0.253,0.8222,medium,lexical+cse
cadm.co.in,cadm.co.in,0.3085,NIC,0.1808,0.5,low,lexical+cse
dewgold.co.in,dewgold.co.in,0.3302,NIC,0.1995,0.5263,low,lexical+cse
gohrms.co.in,gohrms.co.in,0.3402,NIC,0.1966,0.5556,low,lexical+cse
sbiadmin.co.in,sbiadmin.co.in,0.4464,SBI,0.2012,0.8143,low,lexical+cse
profoundvanam.co.in,profoundvanam.co.in,0.3079,IOCL,0.2274,0.4286,low,lexical+cse
propelusindia.co.in,propelusindia.co.in,0.3371,IOCL,0.2285,0.5,low,lexical+cse
victoryint.co.in,victoryint.co.in,0.3133,ICICI,0.2047,0.4762,low,lexical+cse
m3mindiaresidencesnoidasector98.co.in,m3mindiaresidencesnoidasector98.co.in,0.3246,IOCL,0.3091,0.3478,low,lexical+cse
smartworldsuitesbyeliesaab.co.in,smartworldsuitesbyeliesaab.co.in,0.305,SBI,0.2808,0.3415,low,lexical+cse
eliesaabnoidaprojects.co.in,eliesaabnoidaprojects.co.in,0.3031,ICICI,0.2596,0.3684,low,lexical+cse
m3mindiaresidencesnoida.co.in,m3mindiaresidencesnoida.co.in,0.3269,IOCL,0.2641,0.4211,low,lexical+cse
smartworldresidencesbyeliesaabnoidasector98.co.in,smartworldresidencesbyeliesaabnoidasector98.co.in,0.3184,SBI,0.3468,0.2759,low,lexical+cse
smartworldresidencesbyeliesaab.co.in,smartworldresidencesbyeliesaab.co.in,0.317,SBI,0.2913,0.3556,low,lexical+cse
smartworldresidencesbyeliesaabnoida.co.in,smartworldresidencesbyeliesaabnoida.co.in,0.3124,SBI,0.3073,0.32,low,lexical+cse
iha.org.in,iha.org.in,0.3074,NIC,0.1789,0.5,low,lexical+cse
cdbbi.co.in,cdbbi.co.in,0.3073,ICICI,0.1788,0.5,low,lexical+cse
secqr.co.in,secqr.co.in,0.3016,NIC,0.189,0.4706,low,lexical+cse
uid.net.in,uid.net.in,0.304,PNB,0.1733,0.5,low,lexical+cse
globalenvirotech.co.in,globalenvirotech.co.in,0.3165,NIC,0.2417,0.4286,low,lexical+cse
greatvalue107.co.in,greatvalue107.co.in,0.3196,NIC,0.266,0.4,low,lexical+cse
cliqpe.co.in,cliqpe.co.in,0.3056,ICICI,0.1919,0.4762,low,lexical+cse
rdeindia.co.in,rdeindia.co.in,0.3618,IOCL,0.1971,0.6087,low,lexical+cse
wheatgrasss.co.in,wheatgrasss.co.in,0.3071,NIC,0.2219,0.4348,low,lexical+cse
myd-gp.co.in,myd-gp.co.in,0.3452,NIC,0.205,0.5556,low,lexical+cse
golivenow.in,golivenow.in,0.3084,NIC,0.0695,0.6667,low,lexical+cse
nghost.in,nghost.in,0.3036,NIC,0.0615,0.6667,low,lexical+cse
pmtf.org.in,pmtf.org.in,0.3036,NIC,0.1922,0.4706,low,lexical+cse
ai360consulting.co.in,ai360consulting.co.in,0.3176,SBI,0.2627,0.4,low,lexical+cse
ai360pro.co.in,ai360pro.co.in,0.3048,NIC,0.2414,0.4,low,lexical+cse
bhagserver.co.in,bhagserver.co.in,0.3139,NIC,0.2201,0.4545,low,lexical+cse
purl.co.in,purl.co.in,0.3119,NIC,0.1865,0.5,low,lexical+cse
g77.co.in,g77.co.in,0.3899,NIC,0.2054,0.6667,low,lexical+cse
vegore.in,vegore.in,0.3036,NIC,0.0615,0.6667,low,lexical+cse
pg68.in,pg68.in,0.304,NIC,0.0964,0.6154,low,lexical+cse
daytrading.com.in,daytrading.com.in,0.3047,NIC,0.218,0.4348,low,lexical+cse
gig.com.in,gig.com.in,0.354,NIC,0.1733,0.625,low,lexical+cse
apexagrotec.co.in,apexagrotec.co.in,0.3058,NIC,0.2199,0.4348,low,lexical+cse
ikki.co.in,ikki.co.in,0.3138,ICICI,0.1675,0.5333,low,lexical+cse
odaonline.in,odaonline.in,0.3045,SBI,0.0631,0.6667,low,lexical+cse
jskbshivpuri.bank.in,jskbshivpuri.bank.in,0.3434,BoB,0.2282,0.5161,low,lexical+cse
instadhaniloan.co.in,instadhaniloan.co.in,0.3266,IOCL,0.2225,0.4828,low,lexical+cse
jugadortech.co.in,jugadortech.co.in,0.3098,NIC,0.2265,0.4348,low,lexical+cse
goshare.com.in,goshare.com.in,0.3253,NIC,0.2088,0.5,low,lexical+cse
g77game.co.in,g77game.co.in,0.345,NIC,0.2241,0.5263,low,lexical+cse
indevagroup.co.in,indevagroup.co.in,0.3185,IOCL,0.2232,0.4615,low,lexical+cse
flyingmanventures.co.in,flyingmanventures.co.in,0.3006,SBI,0.2511,0.375,low,lexical+cse
poloreserve.co.in,poloreserve.co.in,0.3023,NIC,0.214,0.4348,low,lexical+cse
g77games.co.in,g77games.co.in,0.3379,NIC,0.2298,0.5,low,lexical+cse
inner.com.in,inner.com.in,0.3006,IOCL,0.1836,0.4762,low,lexical+cse
jngsolution.co.in,jngsolution.co.in,0.3023,NIC,0.214,0.4348,low,lexical+cse
bbmc.org.in,bbmc.org.in,0.3005,NIC,0.1871,0.4706,low,lexical+cse
chargeinn.co.in,chargeinn.co.in,0.3133,NIC,0.2046,0.4762,low,lexical+cse
masaimedia.co.in,masaimedia.co.in,0.3162,IOCL,0.2069,0.48,low,lexical+cse
bangaram.com.in,bangaram.com.in,0.3121,NIC,0.2028,0.4762,low,lexical+cse
thangam.com.in,thangam.com.in,0.3205,NIC,0.2008,0.5,low,lexical+cse
brics-pay.co.in,brics-pay.co.in,0.3122,SBI,0.2173,0.4545,low,lexical+cse
1dir.co.in,1dir.co.in,0.3177,NIC,0.1961,0.5,low,lexical+cse
123eworld.co.in,123eworld.co.in,0.3025,NIC,0.2502,0.381,low,lexical+cse
2014.co.in,2014.co.in,0.3485,NIC,0.2475,0.5,low,lexical+cse
1mm.co.in,1mm.co.in,0.3266,NIC,0.1887,0.5333,low,lexical+cse
100years.co.in,100years.co.in,0.3073,NIC,0.2454,0.4,low,lexical+cse
180degrees.co.in,180degrees.co.in,0.3319,NIC,0.2501,0.4545,low,lexical+cse
123hindistatus.co.in,123hindistatus.co.in,0.3498,IOCL,0.2612,0.4828,low,lexical+cse
noflubcred.co.in,noflubcred.co.in,0.3014,BoB,0.2166,0.4286,low,lexical+cse
thegoodfat.co.in,thegoodfat.co.in,0.311,NIC,0.2153,0.4545,low,lexical+cse
prestigesomerville.gen.in,prestigesomerville.gen.in,0.3014,NIC,0.2443,0.3871,low,lexical+cse
nlabs.co.in,nlabs.co.in,0.3016,NIC,0.189,0.4706,low,lexical+cse
pwds.co.in,pwds.co.in,0.3119,NIC,0.1865,0.5,low,lexical+cse
shola.co.in,shola.co.in,0.3016,NIC,0.189,0.4706,low,lexical+cse
punjabizayka.co.in,punjabizayka.co.in,0.3006,BoB,0.2252,0.4138,low,lexical+cse
tra.net.in,tra.net.in,0.304,PNB,0.1733,0.5,low,lexical+cse
boxe.co.in,boxe.co.in,0.3085,NIC,0.1808,0.5,low,lexical+cse
bdf.ind.in,bdf.ind.in,0.3228,PNB,0.1677,0.5556,low,lexical+cse
loansforindia.co.in,loansforindia.co.in,0.3322,IOCL,0.2204,0.5,low,lexical+cse
leightonasia.co.in,leightonasia.co.in,0.311,IOCL,0.222,0.4444,low,lexical+cse
ypsonline.co.in,ypsonline.co.in,0.3561,SBI,0.2046,0.5833,low,lexical+cse
sgtv.in,sgtv.in,0.3406,NIC,0.0549,0.7692,low,lexical+cse
goldenaeps.co.in,goldenaeps.co.in,0.3118,NIC,0.2166,0.4545,low,lexical+cse
indianev.in,indianev.in,0.3126,IOCL,0.0544,0.7,low,lexical+cse
thekhangroup.co.in,thekhangroup.co.in,0.3043,NIC,0.2295,0.4167,low,lexical+cse
airtacindia.co.in,airtacindia.co.in,0.3386,IOCL,0.2054,0.5385,low,lexical+cse
rivieralakecity.co.in,rivieralakecity.co.in,0.3003,ICICI,0.2339,0.4,low,lexical+cse
lkea.org.in,lkea.org.in,0.3036,NIC,0.1922,0.4706,low,lexical+cse
goldenswan.org.in,goldenswan.org.in,0.3039,NIC,0.2167,0.4348,low,lexical+cse
msob.co.in,msob.co.in,0.3085,NIC,0.1808,0.5,low,lexical+cse
nsob.co.in,nsob.co.in,0.3051,NIC,0.1752,0.5,low,lexical+cse
inld.co.in,inld.co.in,0.3051,NIC,0.1752,0.5,low,lexical+cse
unitedinfra.co.in,unitedinfra.co.in,0.315,IOCL,0.2174,0.4615,low,lexical+cse
acrincelibly.co.in,acrincelibly.co.in,0.3084,ICICI,0.2177,0.4444,low,lexical+cse
vaag.co.in,vaag.co.in,0.3085,NIC,0.1808,0.5,low,lexical+cse
ufa079.co.in,ufa079.co.in,0.3221,NIC,0.2406,0.4444,low,lexical+cse
deluxindustries.co.in,deluxindustries.co.in,0.3013,SBI,0.2355,0.4,low,lexical+cse
algoreach.co.in,algoreach.co.in,0.3164,NIC,0.2098,0.4762,low,lexical+cse
dccbpanna.bank.in,dccbpanna.bank.in,0.321,BoB,0.2016,0.5,low,lexical+cse
hseng.co.in,hseng.co.in,0.3487,NIC,0.189,0.5882,low,lexical+cse
gopikas.co.in,gopikas.co.in,0.3302,NIC,0.1995,0.5263,low,lexical+cse
bgroup.org.in,bgroup.org.in,0.3265,NIC,0.1933,0.5263,low,lexical+cse
agrobridge.co.in,agrobridge.co.in,0.3097,NIC,0.2131,0.4545,low,lexical+cse
indiansatta.co.in,indiansatta.co.in,0.3699,IOCL,0.2062,0.6154,low,lexical+cse
elvn.co.in,elvn.co.in,0.3085,NIC,0.1808,0.5,low,lexical+cse
powerserve.co.in,powerserve.co.in,0.3089,NIC,0.2118,0.4545,low,lexical+cse
monvalio.co.in,monvalio.co.in,0.3183,NIC,0.1971,0.5,low,lexical+cse
cobse.ind.in,cobse.ind.in,0.314,PNB,0.19,0.5,low,lexical+cse
gbagro.in,gbagro.in,0.3036,NIC,0.0615,0.6667,low,lexical+cse
troova.in,troova.in,0.3036,NIC,0.0615,0.6667,low,lexical+cse
withgrit.co.in,withgrit.co.in,0.3207,NIC,0.2012,0.5,low,lexical+cse
loopearplugsindia.co.in,loopearplugsindia.co.in,0.3216,IOCL,0.2443,0.4375,low,lexical+cse
crednova.co.in,crednova.co.in,0.3216,NIC,0.2027,0.5,low,lexical+cse
fundyra.co.in,fundyra.co.in,0.3041,IOCL,0.2038,0.4545,low,lexical+cse
